,Order_No,Time from Pickup to Arrival
0,Order_No_19248,1574.8860772961941
1,Order_No_12736,1144.4832452967198
2,Order_No_768,1153.3558088456775
3,Order_No_15332,1083.1394717245284
4,Order_No_21373,1083.7059149125719
5,Order_No_14573,2240.611349397799
6,Order_No_6731,2433.230548163263
7,Order_No_18436,1426.0298334337149
8,Order_No_2288,1441.870059378587
9,Order_No_9063,2026.6966911219156
10,Order_No_4814,1182.9677711020877
11,Order_No_16747,2587.7142537553746
12,Order_No_6376,1668.4877288682687
13,Order_No_1199,1348.5519343693513
14,Order_No_17119,1464.302754292015
15,Order_No_14832,1153.1009800516044
16,Order_No_12321,827.8211186277723
17,Order_No_24820,1484.7457222141034
18,Order_No_6065,1246.04887269774
19,Order_No_13176,716.6556352052495
20,Order_No_23557,849.1448720305586
21,Order_No_20488,1943.485959966998
22,Order_No_24214,1130.6905465729346
23,Order_No_21206,2222.7793858535197
24,Order_No_1930,1018.3454682405645
25,Order_No_28180,2072.688915725035
26,Order_No_13329,672.3566039643488
27,Order_No_19004,1048.0035273949934
28,Order_No_27510,1861.2452979614113
29,Order_No_25394,1946.3474690112878
30,Order_No_11299,2544.4231751385278
31,Order_No_21269,1448.814993475967
32,Order_No_3565,3013.2138255248974
33,Order_No_6473,1120.3008826961645
34,Order_No_6258,618.3138911237105
35,Order_No_27480,1942.5977118612163
36,Order_No_23302,2089.5601926924155
37,Order_No_16731,1784.147145399885
38,Order_No_21353,1433.9456937727355
39,Order_No_10610,1064.2156619144266
40,Order_No_5930,1138.8014650271598
41,Order_No_5171,1957.9276209381178
42,Order_No_21590,1540.9865955036603
43,Order_No_643,1280.983648758729
44,Order_No_6308,1195.0875870260115
45,Order_No_16885,2052.0972056675746
46,Order_No_5421,1561.3317368271742
47,Order_No_21864,2509.5159926858187
48,Order_No_11618,1101.0914497794108
49,Order_No_27514,2522.3705758974884
50,Order_No_26356,1612.2627196502049
51,Order_No_20174,1212.0484547199892
52,Order_No_23193,2782.5250148138043
53,Order_No_17568,1386.5712569612776
54,Order_No_25549,1276.1644932111128
55,Order_No_23942,1103.2300012446756
56,Order_No_25817,1502.0813965561101
57,Order_No_16582,3014.5290523292138
58,Order_No_25259,2498.763224984991
59,Order_No_7311,1200.4986359960876
60,Order_No_6198,1503.377127755005
61,Order_No_18810,1107.836471004235
62,Order_No_26162,1100.1395917027814
63,Order_No_4192,1133.5589211317754
64,Order_No_28224,1150.5571177629854
65,Order_No_15612,820.8694672861603
66,Order_No_21556,2013.2344496111414
67,Order_No_15698,2070.5177437483717
68,Order_No_2619,2116.9999082294125
69,Order_No_10710,1481.6196311623344
70,Order_No_17906,1183.7489938053973
71,Order_No_24831,1046.093669230219
72,Order_No_15312,3154.1095948489765
73,Order_No_17599,1354.9995130113139
74,Order_No_8759,681.1107411904898
75,Order_No_18102,1795.9680532046352
76,Order_No_19596,2043.6955864753186
77,Order_No_18174,1102.8060575463426
78,Order_No_18641,2480.4385804790345
79,Order_No_7568,895.5153971121124
80,Order_No_23561,1430.062242588587
81,Order_No_21212,889.2279748395171
82,Order_No_19352,2657.265390003949
83,Order_No_13038,1961.2785652536468
84,Order_No_14688,1573.4017619713447
85,Order_No_5155,1216.424495392567
86,Order_No_26963,1307.8521723000072
87,Order_No_25662,1902.5367771080819
88,Order_No_22324,1188.8414766078272
89,Order_No_4080,1161.9373609851662
90,Order_No_2551,1558.0973690433784
91,Order_No_6576,1739.6598375431345
92,Order_No_23150,1797.2145965975403
93,Order_No_12488,1685.4351075959437
94,Order_No_14209,984.1001849797854
95,Order_No_14944,1770.575510269855
96,Order_No_105,1409.5626980191205
97,Order_No_6400,2031.208733626916
98,Order_No_23670,989.6533306782275
99,Order_No_11927,1881.830098766673
100,Order_No_672,2071.2710058848743
101,Order_No_24305,1351.3067161000017
102,Order_No_23438,615.5029770723686
103,Order_No_11297,2234.791263566198
104,Order_No_25875,848.9759224520069
105,Order_No_2483,1580.4441430720685
106,Order_No_22525,2363.0714964434483
107,Order_No_85,1409.7505094747044
108,Order_No_25252,1159.3591071394872
109,Order_No_16007,2343.823597495755
110,Order_No_10988,1322.1517536321248
111,Order_No_15321,1991.7680718447316
112,Order_No_16080,799.2214854713804
113,Order_No_11090,1058.5528870541777
114,Order_No_21090,1433.488054395709
115,Order_No_1621,1339.6503009170667
116,Order_No_24456,1644.038840804846
117,Order_No_5036,1271.7311626077362
118,Order_No_15675,2337.642890145482
119,Order_No_5672,1184.9567112037369
120,Order_No_4333,754.2228901556264
121,Order_No_20768,1159.2593243979852
122,Order_No_12336,1688.062718534138
123,Order_No_12293,1358.635911354333
124,Order_No_6103,1260.684685659616
125,Order_No_25920,563.8459447923367
126,Order_No_2159,1556.1598941967948
127,Order_No_13215,806.9677685152885
128,Order_No_15620,1839.1245128004684
129,Order_No_27406,1039.189277048331
130,Order_No_3092,2263.202429355319
131,Order_No_21088,856.5338667924674
132,Order_No_6448,1109.4755392958764
133,Order_No_23769,1432.0609543083542
134,Order_No_2640,1249.2745672205983
135,Order_No_19108,1521.456125811988
136,Order_No_2796,1881.7165863671896
137,Order_No_16473,1319.9063507313751
138,Order_No_2754,1189.7017962820373
139,Order_No_2678,1414.552824939256
140,Order_No_12053,1894.947396231728
141,Order_No_17071,1231.2980582582968
142,Order_No_4656,1229.069326130867
143,Order_No_27607,1770.4769185578618
144,Order_No_6709,1732.9340841994504
145,Order_No_25036,1230.4849030990765
146,Order_No_16694,827.3740664078085
147,Order_No_24366,2537.0178761907096
148,Order_No_9590,1798.2690751786458
149,Order_No_5658,1852.8538404429419
150,Order_No_13152,719.8917336782177
151,Order_No_27538,1090.125747287395
152,Order_No_2782,1183.6489704587095
153,Order_No_1311,455.17625473644625
154,Order_No_10249,2386.7483531911075
155,Order_No_2624,2061.0076836702883
156,Order_No_27601,1342.0891508066964
157,Order_No_4252,1537.6724189987413
158,Order_No_22149,1483.3185925357502
159,Order_No_2699,2670.053259275852
160,Order_No_12371,1480.4992353249852
161,Order_No_14848,978.1734886205286
